District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Chamba,186395.0,33.8,2.0,1.9,5.4,0.855,13836.0,13836.0,304.392,7125.54
Chamba,186395.0,17.5,0.7,0.6783,41.9,2.4225,13836.0,13836.0,96.85199999999999,12037.32
Kangra,588321.0,24.9,1.4,1.3761999999999999,1.7,1.6710999999999998,39007.0,39007.0,546.098,25120.508
Kangra,588321.0,24.5,1.4,1.3747999999999998,2.6,1.5712000000000002,39007.0,39007.0,546.098,25549.585
Kangra,588321.0,18.4,1.6,1.56,17.3,0.6825,39007.0,39007.0,624.1120000000001,32102.761000000002
Kullu,167995.0,27.0,1.1,1.0846,1.9,0.8874,20709.0,20709.0,248.50799999999998,11224.278
Kullu,167995.0,25.6,1.1,1.0824,5.4,0.7872000000000001,20709.0,20709.0,248.50799999999998,12094.055999999999
Kullu,167995.0,14.7,1.3,1.2571,31.8,0.19340000000000004,20709.0,20709.0,269.217,18762.354
Mandi,431129.0,27.2,1.6,1.5632000000000001,3.7,1.4655,31696.0,31696.0,507.1360000000001,25990.72
Mandi,431129.0,26.4,1.5,1.4655,7.4,1.3678,31696.0,31696.0,507.1360000000001,26212.592
Mandi,431129.0,16.9,0.7,0.6825,54.3,0.2925,31696.0,31696.0,221.87199999999996,29160.32
Hamirpur,196116.0,21.0,1.0,0.9790000000000001,3.6,3.7201999999999997,15232.0,15232.0,152.32,13571.712
Hamirpur,256081.0,21.0,1.0,0.9790000000000001,3.6,3.7201999999999997,55300.0,55300.0,553.0,49272.3
Hamirpur,196116.0,20.7,1.0,0.9790000000000001,4.7,3.5244000000000004,15232.0,15232.0,152.32,13602.176
Hamirpur,256081.0,20.7,1.0,0.9790000000000001,4.7,3.5244000000000004,55300.0,55300.0,553.0,49382.9
Hamirpur,196116.0,16.6,0.5,0.4875,20.0,0.6825,15232.0,15232.0,91.392,14059.135999999999
Hamirpur,256081.0,16.6,0.5,0.4875,20.0,0.6825,55300.0,55300.0,331.8,51041.9
Hamirpur,196116.0,47.4,1.4,1.3188,1.4,1.2246000000000001,15232.0,15232.0,228.48,3808.0
Hamirpur,256081.0,47.4,1.4,1.3188,1.4,1.2246000000000001,55300.0,55300.0,829.5,13825.0
Hamirpur,196116.0,45.2,1.5,1.413,3.2,1.2246000000000001,15232.0,15232.0,228.48,4996.096
Hamirpur,256081.0,45.2,1.5,1.413,3.2,1.2246000000000001,55300.0,55300.0,829.5,18138.399999999998
Hamirpur,196116.0,35.2,1.6,1.5008000000000001,11.1,1.2194,15232.0,15232.0,243.71200000000002,10464.384
Hamirpur,256081.0,35.2,1.6,1.5008000000000001,11.1,1.2194,55300.0,55300.0,884.8,37991.1
Una,185091.0,25.0,1.4,1.3832,2.0,1.8772,20126.0,20126.0,281.76399999999995,11834.088
Una,185091.0,24.9,1.7,1.6779,2.4,1.7766,20126.0,20126.0,342.142,12135.978000000001
Una,185091.0,23.9,4.8,4.694399999999999,5.9,1.0758,20126.0,20126.0,966.048,15013.996
Bilaspur,152458.0,26.5,1.3,1.2766000000000002,3.8,1.473,11987.0,11987.0,155.83100000000002,8247.056
Bilaspur,549632.0,26.5,1.3,1.2766000000000002,3.8,1.473,188174.0,188174.0,2446.262,129463.712
Bilaspur,152458.0,25.7,1.3,1.274,8.0,1.3719999999999999,11987.0,11987.0,155.83100000000002,8462.822
Bilaspur,549632.0,25.7,1.3,1.274,8.0,1.3719999999999999,188174.0,188174.0,2446.262,132850.84399999998
Bilaspur,152458.0,16.0,0.8,0.7576,63.2,0.6628999999999999,11987.0,11987.0,95.896,11207.845
Bilaspur,549632.0,16.0,0.8,0.7576,63.2,0.6628999999999999,188174.0,188174.0,1505.392,175942.69
Bilaspur,152458.0,57.9,5.2,5.0752,0.4,4.587199999999999,11987.0,11987.0,623.3240000000001,1989.842
Bilaspur,549632.0,57.9,5.2,5.0752,0.4,4.587199999999999,188174.0,188174.0,9785.048,31236.884000000005
Bilaspur,152458.0,52.7,4.7,4.5778,1.1,3.7012,11987.0,11987.0,563.389,3332.3860000000004
Bilaspur,549632.0,52.7,4.7,4.5778,1.1,3.7012,188174.0,188174.0,8844.178,52312.372
Bilaspur,152458.0,35.1,3.0,2.895,3.2,0.8685,11987.0,11987.0,371.59700000000004,7875.459
Bilaspur,549632.0,35.1,3.0,2.895,3.2,0.8685,188174.0,188174.0,5833.394,123630.31800000001
Solan,192787.0,23.8,1.9,1.8619999999999999,5.5,1.274,51509.0,51509.0,978.6709999999999,35541.21
Solan,192787.0,22.7,1.8,1.7676000000000003,9.2,1.6694,51509.0,51509.0,927.1619999999999,37807.606
Solan,192787.0,18.5,1.4,1.3888,23.2,3.0752000000000006,51509.0,51509.0,721.1259999999999,46255.082
Sirmaur,171102.0,30.5,2.8,2.7607999999999997,3.7,1.3803999999999998,21054.0,21054.0,589.512,11979.725999999999
Sirmaur,171102.0,29.0,2.5,2.465,7.4,1.2818,21054.0,21054.0,547.404,13074.534000000001
Sirmaur,171102.0,19.0,0.9,0.8828999999999999,31.9,0.6866999999999999,21054.0,21054.0,210.54,20232.894
Shimla,279269.0,24.2,2.3,2.2816,4.6,1.0912000000000002,95896.0,95896.0,2205.6079999999997,57345.808
Shimla,279269.0,22.4,2.0,1.982,21.7,0.8919,95896.0,95896.0,1917.92,65496.968
Shimla,279269.0,17.6,1.3,1.2857000000000003,66.4,0.1978,95896.0,95896.0,1246.6480000000001,86977.672
Kinnaur,44514.0,29.0,1.0,0.9940000000000001,9.9,5.1688,0.0,0.0,0.0,0.0
Kinnaur,44514.0,29.0,1.0,0.9940000000000001,9.9,5.1688,0.0,0.0,0.0,0.0
Gurdaspur,420860.0,47.8,8.7,8.430299999999999,6.1,1.7442000000000002,185488.0,185488.0,16693.92,92929.48800000001
Gurdaspur,420860.0,45.5,7.7,7.461300000000001,18.0,1.5504000000000002,185488.0,185488.0,14653.552,111292.8
Gurdaspur,420860.0,39.7,5.1,4.9368,48.4,0.968,185488.0,185488.0,9645.376,158777.728
Kapurthala,165433.0,39.9,5.9,5.7112,8.9,2.1296,95770.0,95770.0,5841.97,74125.98000000001
Kapurthala,165433.0,36.8,5.3,5.1463,30.4,1.6506999999999998,95770.0,95770.0,5171.580000000001,79776.41
Kapurthala,165433.0,31.1,4.1,4.0016,69.7,0.8784000000000001,95770.0,95770.0,3926.5699999999993,90119.57
Jalandhar,330339.0,45.3,6.1,5.9353,7.8,2.7244,377791.0,377791.0,23423.042,287121.16
Jalandhar,330339.0,40.8,5.3,5.1463,43.7,1.7478,377791.0,377791.0,20778.505,326789.215
Jalandhar,330339.0,36.8,4.7,4.5496,75.5,0.8712000000000001,377791.0,377791.0,18133.968,361923.778
Hoshiarpur,422673.0,40.0,6.3,6.1488,3.9,1.3663999999999998,128592.0,128592.0,8358.48,73297.44
Hoshiarpur,422673.0,38.6,6.0,5.867999999999999,15.1,1.1735999999999998,128592.0,128592.0,7844.111999999999,82170.288
Hoshiarpur,422673.0,33.6,4.8,4.7184,55.9,0.6880999999999999,128592.0,128592.0,6301.008000000001,114318.288
Shahid Bhagat Singh Nagar,183168.0,37.9,5.1,4.8552,5.3,1.9992,48383.0,48383.0,2612.6820000000002,32319.843999999997
Shahid Bhagat Singh Nagar,183168.0,37.3,5.4,5.167800000000001,12.8,1.9140000000000001,48383.0,48383.0,2709.448,34110.015
Shahid Bhagat Singh Nagar,183168.0,35.1,6.3,6.1425,41.5,1.6575,48383.0,48383.0,3144.895,41173.933
Fatehgarh Sahib,117559.0,34.9,5.9,5.2746,6.1,3.9336000000000007,57337.0,57337.0,3669.5680000000007,47303.025
Fatehgarh Sahib,117559.0,34.1,5.4,4.914000000000001,20.1,3.367,57337.0,57337.0,3325.546,49481.831
Fatehgarh Sahib,117559.0,32.7,4.3,4.0463,48.8,2.1643,57337.0,57337.0,2580.165,53839.44300000001
Ludhiana,395032.0,42.5,6.7,6.3382,7.2,4.635400000000001,641789.0,641789.0,45567.01899999999,561565.375
Ludhiana,395032.0,40.2,5.5,5.2139999999999995,47.6,3.2232,641789.0,641789.0,37223.761999999995,598789.137
Ludhiana,395032.0,38.8,4.8,4.5552,73.2,2.2776,641789.0,641789.0,31447.661,621893.541
Moga,214295.0,43.6,7.3,7.0007,10.1,8.439200000000001,74144.0,74144.0,5486.656,63318.976
Moga,214295.0,41.2,7.1,6.837299999999999,21.2,7.4151,74144.0,74144.0,5412.512,64950.14399999999
Moga,214295.0,33.8,6.5,6.3375,56.7,4.3875,74144.0,74144.0,4967.648,70214.368
Firozpur,348522.0,49.0,10.5,10.142999999999999,4.0,5.409599999999999,153868.0,153868.0,16617.744000000002,102476.08799999999
Firozpur,348522.0,46.4,9.5,9.1675,19.5,4.7285,153868.0,153868.0,14925.195999999998,112631.37599999999
Firozpur,348522.0,39.5,6.9,6.6447,60.4,2.7927,153868.0,153868.0,10924.628,139558.27599999998
Muktsar,149507.0,50.9,10.5,10.153500000000001,4.0,3.2878,74650.0,74650.0,7987.55,53971.95
Muktsar,149507.0,47.5,10.1,9.7667,21.4,2.8043,74650.0,74650.0,7614.3,57704.45
Muktsar,149507.0,38.9,8.9,8.6152,64.3,1.6456,74650.0,74650.0,6793.15,67035.7
Faridkot,99946.0,47.1,7.6,7.3416,4.8,4.0572,58917.0,58917.0,4536.609,47192.51699999999
Faridkot,99946.0,44.3,7.7,7.438199999999999,17.4,3.381,58917.0,58917.0,4654.443,49843.78199999999
Faridkot,99946.0,39.0,8.0,7.736000000000001,40.2,2.1274,58917.0,58917.0,4772.276999999999,54674.975999999995
Bathinda,218159.0,48.0,7.1,6.681099999999999,4.4,4.1404000000000005,137563.0,137563.0,10179.662,115965.609
Bathinda,218159.0,42.0,6.4,6.0736,22.8,3.6062,137563.0,137563.0,9216.721,120230.062
Bathinda,218159.0,31.1,5.3,5.103899999999999,55.8,2.6001,137563.0,137563.0,7428.402000000001,128071.15299999999
Mansa,145603.0,44.9,7.1,6.887,3.2,5.335,50786.0,50786.0,3656.592,31944.394
Mansa,145603.0,42.3,6.8,6.589200000000001,9.5,4.845,50786.0,50786.0,3555.02,34382.122
Mansa,145603.0,32.8,5.9,5.6935,32.1,3.088,50786.0,50786.0,2996.3740000000003,43168.1
Patiala,299279.0,44.4,6.7,6.204199999999999,5.7,6.389399999999999,218090.0,218090.0,15484.39,168583.57
Patiala,299279.0,38.8,5.6,5.2863999999999995,32.2,4.6256,218090.0,218090.0,12867.31,186685.04
Patiala,299279.0,30.9,4.2,4.0698,68.7,2.0349,218090.0,218090.0,9159.78,211329.21
Amritsar,275477.0,53.0,7.7,7.3766,8.6,2.5866000000000002,385476.0,385476.0,30067.127999999997,234369.408
Amritsar,275477.0,46.2,6.3,6.047999999999999,44.2,2.112,385476.0,385476.0,25055.94,304526.04
Amritsar,275477.0,40.8,5.3,5.0986,72.6,1.7316,385476.0,385476.0,20815.704,360034.584
Tarn Taran,222717.0,53.7,7.9,7.6314,7.0,5.5062,44457.0,44457.0,3601.0170000000003,28808.136000000002
Tarn Taran,222717.0,52.2,7.8,7.5504,13.6,5.0336,44457.0,44457.0,3512.103,30141.846
Tarn Taran,222717.0,42.5,7.1,6.936699999999999,58.4,1.4655,44457.0,44457.0,3156.447,38988.789
Rupnagar,148162.0,33.6,5.8,5.498399999999999,6.2,2.2752,60537.0,60537.0,3632.22,34445.553
Rupnagar,148162.0,31.7,5.5,5.2525,20.2,1.91,60537.0,60537.0,3511.1459999999997,40257.105
Rupnagar,148162.0,26.6,4.9,4.7677000000000005,56.6,0.7784,60537.0,60537.0,3026.85,55512.429000000004
Sahibzada Ajit Singh Nagar,117293.0,40.6,7.0,6.545,7.4,4.0205,174042.0,174042.0,12705.065999999999,105643.494
Sahibzada Ajit Singh Nagar,117293.0,30.4,5.1,4.9062,37.8,2.7898,174042.0,174042.0,9050.184000000001,137667.22199999998
Sahibzada Ajit Singh Nagar,117293.0,23.0,3.7,3.6334000000000004,59.8,1.7676000000000003,174042.0,174042.0,6613.596,160814.80800000002
Sangrur,292156.0,39.9,5.6,4.9112,4.1,5.5251,156788.0,156788.0,9564.068,123235.36799999999
Sangrur,292156.0,37.8,5.3,4.7912,17.6,4.6104,156788.0,156788.0,8936.916,129820.464
Sangrur,292156.0,33.0,4.6,4.4252,47.0,2.405,156788.0,156788.0,7369.036,144244.96
Barnala,102577.0,43.9,6.0,5.304000000000001,2.9,3.0940000000000003,54222.0,54222.0,3524.43,43486.044
Barnala,102577.0,42.2,5.9,5.3454,14.6,2.6273999999999997,54222.0,54222.0,3415.986,45275.37
Barnala,102577.0,38.8,5.8,5.5158,38.1,1.6166999999999998,54222.0,54222.0,3199.0980000000004,48908.244000000006
Chandigarh,8911.0,46.1,2.2,2.1471999999999998,83.0,0.29279999999999995,289456.0,289456.0,8104.767999999999,254721.28
Chandigarh,8911.0,26.5,3.4,3.3421999999999996,85.9,0.1966,289456.0,289456.0,10130.96,253563.45599999998
Chandigarh,8911.0,25.9,3.4,3.3421999999999996,85.9,0.1966,289456.0,289456.0,10130.96,253563.45599999998
Uttarkashi,112148.0,26.4,3.0,2.931,1.6,0.7816000000000001,9061.0,9061.0,271.83,3579.095
Uttarkashi,112148.0,25.4,2.8,2.7327999999999997,3.8,0.7807999999999999,9061.0,9061.0,262.769,3959.657
Uttarkashi,112148.0,15.2,0.8,0.7664,28.4,0.479,9061.0,9061.0,72.488,8290.815
Chamoli,163434.0,25.0,2.3,2.2218,2.6,1.1591999999999998,22906.0,22906.0,572.65,10765.82
Chamoli,163434.0,22.9,2.1,2.0349,4.0,1.0659,22906.0,22906.0,526.838,12163.086000000001
Chamoli,163434.0,11.4,0.9,0.8874,12.1,0.2958,22906.0,22906.0,206.15400000000002,20042.75
Rudraprayag,112705.0,19.2,1.8,1.764,3.9,1.8619999999999999,4454.0,4454.0,84.626,2271.54
Rudraprayag,112705.0,18.7,1.7,1.6609,4.2,1.7586000000000002,4454.0,4454.0,80.172,2356.166
Rudraprayag,112705.0,9.2,0.3,0.27449999999999997,9.0,0.0915,4454.0,4454.0,13.362,4079.8639999999996
Tehri Garhwal,227059.0,25.6,2.6,2.4492000000000003,2.1,0.8478,27177.0,27177.0,760.9559999999999,13615.677
Tehri Garhwal,227059.0,23.7,2.4,2.2728,8.5,0.7576,27177.0,27177.0,679.425,15164.765999999998
Tehri Garhwal,227059.0,10.1,0.6,0.588,53.7,0.49,27177.0,27177.0,190.23899999999998,26062.743000000002
Dehradun,228245.0,25.5,3.8,3.6593999999999998,5.5,0.963,269393.0,269393.0,10506.327,200967.17799999996
Dehradun,228245.0,22.0,3.0,2.8829999999999996,23.3,1.0571000000000002,269393.0,269393.0,8081.79,232755.55200000003
Dehradun,228245.0,19.3,2.3,2.2056999999999998,36.5,1.1508,269393.0,269393.0,6465.432,256462.13600000003
Garhwal,279682.0,24.1,1.7,1.6524,2.0,1.2636,36780.0,36780.0,662.04,17764.74
Garhwal,279682.0,22.5,1.6,1.5536,6.2,1.1651999999999998,36780.0,36780.0,625.26,20339.34
Garhwal,279682.0,13.6,1.0,0.966,29.4,0.966,36780.0,36780.0,404.58,34830.66
Pithoragarh,183687.0,22.2,2.0,1.788,1.4,1.6986,26256.0,26256.0,603.8879999999999,12602.88
Pithoragarh,183687.0,20.4,1.8,1.6326000000000003,5.3,1.6326000000000003,26256.0,26256.0,551.3760000000001,14493.312000000002
Pithoragarh,183687.0,9.6,0.5,0.491,27.7,0.7856000000000001,26256.0,26256.0,131.28,25337.04
Bageshwar,96031.0,22.4,2.6,2.3894,3.1,2.1137,3880.0,3880.0,112.52,2075.8
Bageshwar,96031.0,21.9,2.6,2.3945999999999996,3.7,2.0262000000000002,3880.0,3880.0,112.52,2126.24
Bageshwar,96031.0,8.7,0.9,0.8838000000000001,20.9,0.09820000000000001,3880.0,3880.0,34.92,3492.0
Almora,260056.0,23.3,1.6,1.5552000000000001,2.6,2.1384000000000003,21082.0,21082.0,358.394,10878.312
Almora,260056.0,22.5,1.6,1.5568,3.9,1.946,21082.0,21082.0,358.394,11658.345999999998
Almora,260056.0,14.1,1.3,1.2727000000000002,16.2,0.48950000000000005,21082.0,21082.0,274.06600000000003,19374.358
Champawat,85202.0,38.3,5.7,5.4435,1.4,1.337,12839.0,12839.0,770.34,5186.956
Champawat,85202.0,36.5,5.7,5.437800000000001,1.9,1.3356000000000001,12839.0,12839.0,770.34,5957.295999999999
Champawat,85202.0,26.6,5.8,5.481,4.8,1.4175,12839.0,12839.0,757.5010000000001,10258.361
Nainital,193086.0,30.0,4.9,4.6991000000000005,4.4,1.0549000000000002,105577.0,105577.0,5384.427,73270.43800000001
Nainital,193086.0,25.6,4.1,3.9319,13.4,0.9590000000000001,105577.0,105577.0,4539.811,83933.715
Nainital,193086.0,18.8,2.9,2.7782,27.2,0.8622,105577.0,105577.0,3167.31,100086.996
Udham Singh Nagar,269406.0,43.7,6.5,6.1685,5.6,1.8031,145253.0,145253.0,9731.951,82648.957
Udham Singh Nagar,269406.0,40.4,5.6,5.2976,8.2,1.7973999999999999,145253.0,145253.0,8424.674,100660.329
Udham Singh Nagar,269406.0,34.4,3.9,3.6698999999999997,13.1,1.882,145253.0,145253.0,5810.12,133632.76
Hardwar,301828.0,44.8,5.1,4.748099999999999,3.7,1.5826999999999998,186183.0,186183.0,9867.699,93463.866
Hardwar,301828.0,36.8,3.9,3.6855,20.4,1.3229999999999997,186183.0,186183.0,7633.503,123997.87799999998
Hardwar,301828.0,24.2,2.1,2.0307000000000004,47.0,1.0637,186183.0,186183.0,4096.026000000001,172405.458
Panchkula,70895.0,32.1,4.6,4.1998,3.7,1.2782,93656.0,93656.0,4589.144,41208.64
Panchkula,70895.0,25.9,4.6,4.3884,43.2,1.2402000000000002,93656.0,93656.0,4495.488,66214.792
Panchkula,70895.0,21.9,4.6,4.5034,68.2,1.1748,93656.0,93656.0,4401.832,82042.656
Ambala,175365.0,40.2,4.0,3.6839999999999997,3.9,1.1972999999999998,139891.0,139891.0,6015.312999999999,71484.301
Ambala,175365.0,34.1,3.6,3.3695999999999997,14.0,1.6847999999999999,139891.0,139891.0,5455.749,96105.11700000001
Ambala,175365.0,26.8,3.2,3.0528000000000004,25.9,2.2896,139891.0,139891.0,4616.403,124922.66299999999
Yamunanagar,214464.0,42.3,5.8,5.2547999999999995,2.8,2.1744,143259.0,143259.0,9168.576000000001,65899.14
Yamunanagar,214464.0,38.0,5.0,4.625,21.7,3.0525,143259.0,143259.0,7735.986000000001,93404.868
Yamunanagar,214464.0,32.0,3.8,3.6137999999999995,48.3,4.2795,143259.0,143259.0,5730.36,131655.021
Kurukshetra,203553.0,43.6,4.1,3.8909,2.8,4.3654,88268.0,88268.0,3795.5239999999994,60993.187999999995
Kurukshetra,203553.0,39.2,3.9,3.7323000000000004,20.3,3.3495,88268.0,88268.0,3530.72,67083.68
Kurukshetra,203553.0,28.7,3.4,3.3183999999999996,62.1,0.8784000000000001,88268.0,88268.0,3089.38,81559.632
Kaithal,231091.0,38.0,4.1,3.2349,2.4,4.1028,75696.0,75696.0,3633.408,43676.592000000004
Kaithal,231091.0,37.2,4.0,3.3,12.2,3.8775,75696.0,75696.0,3482.0159999999996,47991.263999999996
Kaithal,231091.0,34.7,4.0,3.7880000000000003,45.2,3.1250999999999998,75696.0,75696.0,3103.5359999999996,62600.592000000004
Karnal,292682.0,41.2,4.4,3.8368000000000007,3.9,3.7495999999999996,135920.0,135920.0,6660.08,93241.12
Karnal,292682.0,36.9,3.8,3.42,22.7,3.15,135920.0,135920.0,5708.64,103163.28
