State Name,District,Households_Rural,Population,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
HIMACHAL PRADESH,Kullu,167995.0,437903.0,14.7,1.3,1.2571,31.8,0.19340000000000004,20709.0,20709.0,269.217,18762.354
HIMACHAL PRADESH,Mandi,431129.0,999777.0,27.2,1.6,1.5632000000000001,3.7,1.4655,31696.0,31696.0,507.1360000000001,25990.72
HIMACHAL PRADESH,Mandi,431129.0,999777.0,26.4,1.5,1.4655,7.4,1.3678,31696.0,31696.0,507.1360000000001,26212.592
HIMACHAL PRADESH,Mandi,431129.0,999777.0,16.9,0.7,0.6825,54.3,0.2925,31696.0,31696.0,221.87199999999996,29160.32
HIMACHAL PRADESH,Hamirpur,196116.0,454768.0,21.0,1.0,0.9790000000000001,3.6,3.7201999999999997,15232.0,15232.0,152.32,13571.712
HIMACHAL PRADESH,Hamirpur,256081.0,1104285.0,21.0,1.0,0.9790000000000001,3.6,3.7201999999999997,55300.0,55300.0,553.0,49272.3
HIMACHAL PRADESH,Hamirpur,196116.0,454768.0,20.7,1.0,0.9790000000000001,4.7,3.5244000000000004,15232.0,15232.0,152.32,13602.176
HIMACHAL PRADESH,Hamirpur,256081.0,1104285.0,20.7,1.0,0.9790000000000001,4.7,3.5244000000000004,55300.0,55300.0,553.0,49382.9
HIMACHAL PRADESH,Hamirpur,196116.0,454768.0,16.6,0.5,0.4875,20.0,0.6825,15232.0,15232.0,91.392,14059.135999999999
HIMACHAL PRADESH,Hamirpur,256081.0,1104285.0,16.6,0.5,0.4875,20.0,0.6825,55300.0,55300.0,331.8,51041.9
UTTAR PRADESH,Hamirpur,196116.0,454768.0,47.4,1.4,1.3188,1.4,1.2246000000000001,15232.0,15232.0,228.48,3808.0
UTTAR PRADESH,Hamirpur,256081.0,1104285.0,47.4,1.4,1.3188,1.4,1.2246000000000001,55300.0,55300.0,829.5,13825.0
UTTAR PRADESH,Hamirpur,196116.0,454768.0,45.2,1.5,1.413,3.2,1.2246000000000001,15232.0,15232.0,228.48,4996.096
UTTAR PRADESH,Hamirpur,256081.0,1104285.0,45.2,1.5,1.413,3.2,1.2246000000000001,55300.0,55300.0,829.5,18138.399999999998
UTTAR PRADESH,Hamirpur,196116.0,454768.0,35.2,1.6,1.5008000000000001,11.1,1.2194,15232.0,15232.0,243.71200000000002,10464.384
UTTAR PRADESH,Hamirpur,256081.0,1104285.0,35.2,1.6,1.5008000000000001,11.1,1.2194,55300.0,55300.0,884.8,37991.1
HIMACHAL PRADESH,Una,185091.0,521173.0,25.0,1.4,1.3832,2.0,1.8772,20126.0,20126.0,281.76399999999995,11834.088
HIMACHAL PRADESH,Una,185091.0,521173.0,24.9,1.7,1.6779,2.4,1.7766,20126.0,20126.0,342.142,12135.978000000001
HIMACHAL PRADESH,Una,185091.0,521173.0,23.9,4.8,4.694399999999999,5.9,1.0758,20126.0,20126.0,966.048,15013.996
HIMACHAL PRADESH,Bilaspur,152458.0,381956.0,26.5,1.3,1.2766000000000002,3.8,1.473,11987.0,11987.0,155.83100000000002,8247.056
HIMACHAL PRADESH,Bilaspur,549632.0,2663629.0,26.5,1.3,1.2766000000000002,3.8,1.473,188174.0,188174.0,2446.262,129463.712
HIMACHAL PRADESH,Bilaspur,152458.0,381956.0,25.7,1.3,1.274,8.0,1.3719999999999999,11987.0,11987.0,155.83100000000002,8462.822
HIMACHAL PRADESH,Bilaspur,549632.0,2663629.0,25.7,1.3,1.274,8.0,1.3719999999999999,188174.0,188174.0,2446.262,132850.84399999998
HIMACHAL PRADESH,Bilaspur,152458.0,381956.0,16.0,0.8,0.7576,63.2,0.6628999999999999,11987.0,11987.0,95.896,11207.845
HIMACHAL PRADESH,Bilaspur,549632.0,2663629.0,16.0,0.8,0.7576,63.2,0.6628999999999999,188174.0,188174.0,1505.392,175942.69
CHHATTISGARH,Bilaspur,152458.0,381956.0,57.9,5.2,5.0752,0.4,4.587199999999999,11987.0,11987.0,623.3240000000001,1989.842
CHHATTISGARH,Bilaspur,549632.0,2663629.0,57.9,5.2,5.0752,0.4,4.587199999999999,188174.0,188174.0,9785.048,31236.884000000005
CHHATTISGARH,Bilaspur,152458.0,381956.0,52.7,4.7,4.5778,1.1,3.7012,11987.0,11987.0,563.389,3332.3860000000004
CHHATTISGARH,Bilaspur,549632.0,2663629.0,52.7,4.7,4.5778,1.1,3.7012,188174.0,188174.0,8844.178,52312.372
CHHATTISGARH,Bilaspur,152458.0,381956.0,35.1,3.0,2.895,3.2,0.8685,11987.0,11987.0,371.59700000000004,7875.459
CHHATTISGARH,Bilaspur,549632.0,2663629.0,35.1,3.0,2.895,3.2,0.8685,188174.0,188174.0,5833.394,123630.31800000001
HIMACHAL PRADESH,Solan,192787.0,580320.0,23.8,1.9,1.8619999999999999,5.5,1.274,51509.0,51509.0,978.6709999999999,35541.21
HIMACHAL PRADESH,Solan,192787.0,580320.0,22.7,1.8,1.7676000000000003,9.2,1.6694,51509.0,51509.0,927.1619999999999,37807.606
HIMACHAL PRADESH,Solan,192787.0,580320.0,18.5,1.4,1.3888,23.2,3.0752000000000006,51509.0,51509.0,721.1259999999999,46255.082
HIMACHAL PRADESH,Sirmaur,171102.0,529855.0,30.5,2.8,2.7607999999999997,3.7,1.3803999999999998,21054.0,21054.0,589.512,11979.725999999999
HIMACHAL PRADESH,Sirmaur,171102.0,529855.0,29.0,2.5,2.465,7.4,1.2818,21054.0,21054.0,547.404,13074.534000000001
HIMACHAL PRADESH,Sirmaur,171102.0,529855.0,19.0,0.9,0.8828999999999999,31.9,0.6866999999999999,21054.0,21054.0,210.54,20232.894
HIMACHAL PRADESH,Shimla,279269.0,814010.0,24.2,2.3,2.2816,4.6,1.0912000000000002,95896.0,95896.0,2205.6079999999997,57345.808
HIMACHAL PRADESH,Shimla,279269.0,814010.0,22.4,2.0,1.982,21.7,0.8919,95896.0,95896.0,1917.92,65496.968
HIMACHAL PRADESH,Shimla,279269.0,814010.0,17.6,1.3,1.2857000000000003,66.4,0.1978,95896.0,95896.0,1246.6480000000001,86977.672
HIMACHAL PRADESH,Kinnaur,44514.0,84121.0,29.0,1.0,0.9940000000000001,9.9,5.1688,0.0,0.0,0.0,0.0
HIMACHAL PRADESH,Kinnaur,44514.0,84121.0,29.0,1.0,0.9940000000000001,9.9,5.1688,0.0,0.0,0.0,0.0
PUNJAB,Gurdaspur,420860.0,2298323.0,47.8,8.7,8.430299999999999,6.1,1.7442000000000002,185488.0,185488.0,16693.92,92929.48800000001
PUNJAB,Gurdaspur,420860.0,2298323.0,45.5,7.7,7.461300000000001,18.0,1.5504000000000002,185488.0,185488.0,14653.552,111292.8
PUNJAB,Gurdaspur,420860.0,2298323.0,39.7,5.1,4.9368,48.4,0.968,185488.0,185488.0,9645.376,158777.728
PUNJAB,Kapurthala,165433.0,815168.0,39.9,5.9,5.7112,8.9,2.1296,95770.0,95770.0,5841.97,74125.98000000001
PUNJAB,Kapurthala,165433.0,815168.0,36.8,5.3,5.1463,30.4,1.6506999999999998,95770.0,95770.0,5171.580000000001,79776.41
PUNJAB,Kapurthala,165433.0,815168.0,31.1,4.1,4.0016,69.7,0.8784000000000001,95770.0,95770.0,3926.5699999999993,90119.57
PUNJAB,Jalandhar,330339.0,2193590.0,45.3,6.1,5.9353,7.8,2.7244,377791.0,377791.0,23423.042,287121.16
PUNJAB,Jalandhar,330339.0,2193590.0,40.8,5.3,5.1463,43.7,1.7478,377791.0,377791.0,20778.505,326789.215
PUNJAB,Jalandhar,330339.0,2193590.0,36.8,4.7,4.5496,75.5,0.8712000000000001,377791.0,377791.0,18133.968,361923.778
